source_site,location_code,location_name,location_type,faculty_or_area,building,notes
orar.usv.ro,A039,Laborator de Etnografie,laboratory,,A,"ID: 242, Capacitate: 36"
orar.usv.ro,A205,Lectoratul Ucrainean,room,,A,"ID: 246, Capacitate: 10"
orar.usv.ro,A127,Birou Comunicare,room,,A,"ID: 249, Capacitate: 0"
orar.usv.ro,A125,Catedra de Română,room,,A,"ID: 250, Capacitate: 0"
orar.usv.ro,A040,Catedra de Engleza,room,,A,"ID: 251, Capacitate: 0"
orar.usv.ro,S. Forta,L201 - Sală Forță,room,,A,"ID: 252, Capacitate: 0"
orar.usv.ro,E132,E132 - Sala curs - 90 locuri,room,,E,"ID: 307, Capacitate: 0"
orar.usv.ro,E113,E113- Laborator- 18 locuri,laboratory,,E,"ID: 308, Capacitate: 0"
orar.usv.ro,E110,E110 - 18 locuri,room,,E,"ID: 309, Capacitate: 0"
orar.usv.ro,E109,E109 Laborator - 16locuri,laboratory,,E,"ID: 310, Capacitate: 0"
orar.usv.ro,E106,E106- calculatoare - 16 locuri,room,,E,"ID: 311, Capacitate: 0"
orar.usv.ro,E105,E105 - 18 locuri,room,,E,"ID: 312, Capacitate: 0"
orar.usv.ro,E227,E227 - 24 locuri,room,,E,"ID: 313, Capacitate: 0"
orar.usv.ro,E032,E032,room,,E,"ID: 314, Capacitate: 0"
orar.usv.ro,E034,E034,room,,E,"ID: 315, Capacitate: 0"
orar.usv.ro,E036,E036,room,,E,"ID: 316, Capacitate: 0"
orar.usv.ro,E026,E026,room,,E,"ID: 318, Capacitate: 0"
orar.usv.ro,A116,A116,room,,A,"ID: 319, Capacitate: 0"
orar.usv.ro,A117,A117,room,,A,"ID: 320, Capacitate: 0"
orar.usv.ro,A004,A004,room,,A,"ID: 321, Capacitate: 0"
orar.usv.ro,E218,E218,room,,E,"ID: 322, Capacitate: 0"
orar.usv.ro,J6,J6,room,,J,"ID: 323, Capacitate: 20"
orar.usv.ro,E217,E217,room,,E,"ID: 325, Capacitate: 0"
orar.usv.ro,C4-cantina,C4-Microcantina,room,,Camin,"ID: 326, Capacitate: 0"
orar.usv.ro,A 034,A 034,room,,A,"ID: 327, Capacitate: 0"
orar.usv.ro,A109,A109,room,,A,"ID: 328, Capacitate: 13"
orar.usv.ro,A013,A013,room,,A,"ID: 330, Capacitate: 0"
orar.usv.ro,A110,A110,room,,A,"ID: 332, Capacitate: 16"
orar.usv.ro,S1,S1,room,,A,"ID: 333, Capacitate: 0"
orar.usv.ro,E039,E039,room,,E,"ID: 334, Capacitate: 0"
orar.usv.ro,A126,Catedra de Română2,room,,A,"ID: 341, Capacitate: 0"
orar.usv.ro,A202,Birou Doctorat+CADISS,room,,A,"ID: 342, Capacitate: 0"
orar.usv.ro,A105,Epigon,room,,A,"ID: 343, Capacitate: 0"
orar.usv.ro,Lab DSP,Lab DSP,laboratory,,,"ID: 344, Capacitate: 0"
orar.usv.ro,Bazin (c1),Bazin (culuar 1),room,,K,"ID: 345, Capacitate: 0"
orar.usv.ro,Bazin (c2),Bazin (culuar 2),room,,K,"ID: 346, Capacitate: 0"
orar.usv.ro,Bazin (c3),Bazin (culuar 3),room,,K,"ID: 347, Capacitate: 0"
orar.usv.ro,Bazin (c4),Bazin (culuar 4),room,,K,"ID: 348, Capacitate: 0"
orar.usv.ro,Bazin (c5),Bazin (culuar 5),room,,K,"ID: 349, Capacitate: 0"
orar.usv.ro,Bazin (c6),Bazin (culuar 6),room,,K,"ID: 350, Capacitate: 0"
orar.usv.ro,A036a,A036a,room,,A,"ID: 363, Capacitate: 16"
orar.usv.ro,H103,H103,room,,H,"ID: 366, Capacitate: 0"
orar.usv.ro,H102,H102,room,,H,"ID: 367, Capacitate: 0"
orar.usv.ro,H306,H306,room,,H,"ID: 368, Capacitate: 0"
orar.usv.ro,H301,H301,room,,H,"ID: 369, Capacitate: 6"
orar.usv.ro,E221,E221,room,,E,"ID: 370, Capacitate: 0"
orar.usv.ro,H304,H304,room,,H,"ID: 371, Capacitate: 0"
orar.usv.ro,H206,H206,room,,H,"ID: 373, Capacitate: 0"
orar.usv.ro,H205,H205,room,,H,"ID: 376, Capacitate: 0"
orar.usv.ro,H108,H108,room,,H,"ID: 377, Capacitate: 0"
orar.usv.ro,H105,H105,room,,H,"ID: 378, Capacitate: 6"
orar.usv.ro,A006,A006,room,,A,"ID: 379, Capacitate: 0"
orar.usv.ro,E124,E124,room,,E,"ID: 380, Capacitate: 0"
orar.usv.ro,H203,H203,room,,H,"ID: 381, Capacitate: 0"
orar.usv.ro,H303,H303,room,,H,"ID: 382, Capacitate: 0"
orar.usv.ro,H002,H002,room,,H,"ID: 383, Capacitate: 0"
orar.usv.ro,H109,H109,room,,H,"ID: 384, Capacitate: 0"
orar.usv.ro,ED003,ED003,room,,E,"ID: 386, Capacitate: 0"
orar.usv.ro,A301,Birou It.+Sp.+Ucr. ,room,,A,"ID: 387, Capacitate: 0"
orar.usv.ro,E235,E235,room,,E,"ID: 388, Capacitate: 0"
orar.usv.ro,H207,H207,room,,H,"ID: 389, Capacitate: 0"
orar.usv.ro,H104,H104,room,,H,"ID: 390, Capacitate: 0"
orar.usv.ro,Cons. Jud.,Consiliu Judetean,room,,H,"ID: 391, Capacitate: 0"
orar.usv.ro,E002,Birou Director CSUD,room,,E,"ID: 393, Capacitate: 0"
orar.usv.ro,ED010,ED010- calculatoare 14 locuri,room,,E,"ID: 398, Capacitate: 0"
orar.usv.ro,ED013,ED013 - 16 locuri,room,,E,"ID: 400, Capacitate: 0"
orar.usv.ro,ED012,ED012 - 16 locuri,room,,E,"ID: 401, Capacitate: 0"
orar.usv.ro,ED006,Laborator cercetare E.A.,laboratory,,E,"ID: 402, Capacitate: 0"
orar.usv.ro,A118,A118,room,,A,"ID: 403, Capacitate: 0"
orar.usv.ro,Birou E 208,E 208 Catedra,room,,E,"ID: 404, Capacitate: 0"
orar.usv.ro, Birou E 228,E 228 Catedra,room,,E,"ID: 406, Capacitate: 0"
orar.usv.ro, Birou E 203,Birou E 203 Catedra,room,,E,"ID: 407, Capacitate: 0"
orar.usv.ro,Birou E 212,E 212 Catedra,room,,E,"ID: 409, Capacitate: 0"
orar.usv.ro,Birou E 229,E 229 Catedra,room,,E,"ID: 411, Capacitate: 0"
orar.usv.ro,A 31,A 31 Catedra Centrul de Studii,room,,A,"ID: 412, Capacitate: 0"
orar.usv.ro,E 0010,E 0010 Prorectorat Relatii Int,room,,E,"ID: 413, Capacitate: 0"
orar.usv.ro,Birou E211,E211 Filosofie,room,,E,"ID: 414, Capacitate: 0"
orar.usv.ro,Birou E232,E232 Filosofie,room,,E,"ID: 418, Capacitate: 0"
orar.usv.ro,B216 Birou CD,B216 Birou CD,room,,B,"ID: 427, Capacitate: 0"
orar.usv.ro,B207 Birou CD,B207 Birou CD,room,,B,"ID: 431, Capacitate: 0"
orar.usv.ro,H110,H110,room,,H,"ID: 442, Capacitate: 0"
orar.usv.ro,H204,H204,room,,H,"ID: 443, Capacitate: 0"
orar.usv.ro,E238,E238,room,,E,"ID: 446, Capacitate: 0"
orar.usv.ro,E204,E204,room,,E,"ID: 447, Capacitate: 0"
orar.usv.ro,E207,E207,room,,E,"ID: 448, Capacitate: 0"
orar.usv.ro,E231,E231,room,,E,"ID: 449, Capacitate: 0"
orar.usv.ro,E214,E214,room,,E,"ID: 450, Capacitate: 0"
orar.usv.ro,A019,Catedra1 FSE,room,,A,"ID: 453, Capacitate: 0"
orar.usv.ro,A008,Catedra2 FSE,room,,A,"ID: 454, Capacitate: 0"
orar.usv.ro,E234,E234,room,,E,"ID: 455, Capacitate: 0"
orar.usv.ro,H001,H001,room,,H,"ID: 460, Capacitate: 0"
orar.usv.ro,S62,S62,room,,A,"ID: 461, Capacitate: 0"
orar.usv.ro,B104 Lab OM+Trib,B104 Laborator OM+Trib,laboratory,,B,"ID: 462, Capacitate: 0"
orar.usv.ro,E 015,E 015,room,,E,"ID: 472, Capacitate: 0"
orar.usv.ro,A 7,Birou A 7 Doctorat Istorie,room,,A,"ID: 476, Capacitate: 0"
orar.usv.ro,H202,H202,room,,H,"ID: 484, Capacitate: 0"
