location_key,display_name,location_type,building,is_online,is_external,source_reference,notes
bazin_(c4),Bazin (culuar 4),room,K,false,false,orar.usv.ro,"ID: 348, Capacitate: 0"
bazin_(c5),Bazin (culuar 5),room,K,false,false,orar.usv.ro,"ID: 349, Capacitate: 0"
bazin_(c6),Bazin (culuar 6),room,K,false,false,orar.usv.ro,"ID: 350, Capacitate: 0"
a036a,A036a,room,A,false,false,orar.usv.ro,"ID: 363, Capacitate: 16"
h103,H103,room,H,false,false,orar.usv.ro,"ID: 366, Capacitate: 0"
h102,H102,room,H,false,false,orar.usv.ro,"ID: 367, Capacitate: 0"
h306,H306,room,H,false,false,orar.usv.ro,"ID: 368, Capacitate: 0"
h301,H301,room,H,false,false,orar.usv.ro,"ID: 369, Capacitate: 6"
e221,E221,room,E,false,false,orar.usv.ro,"ID: 370, Capacitate: 0"
h304,H304,room,H,false,false,orar.usv.ro,"ID: 371, Capacitate: 0"
h206,H206,room,H,false,false,orar.usv.ro,"ID: 373, Capacitate: 0"
h205,H205,room,H,false,false,orar.usv.ro,"ID: 376, Capacitate: 0"
h108,H108,room,H,false,false,orar.usv.ro,"ID: 377, Capacitate: 0"
h105,H105,room,H,false,false,orar.usv.ro,"ID: 378, Capacitate: 6"
a006,A006,room,A,false,false,orar.usv.ro,"ID: 379, Capacitate: 0"
e124,E124,room,E,false,false,orar.usv.ro,"ID: 380, Capacitate: 0"
h203,H203,room,H,false,false,orar.usv.ro,"ID: 381, Capacitate: 0"
h303,H303,room,H,false,false,orar.usv.ro,"ID: 382, Capacitate: 0"
h002,H002,room,H,false,false,orar.usv.ro,"ID: 383, Capacitate: 0"
h109,H109,room,H,false,false,orar.usv.ro,"ID: 384, Capacitate: 0"
ed003,ED003,room,E,false,false,orar.usv.ro,"ID: 386, Capacitate: 0"
a301,Birou It.+Sp.+Ucr. ,room,A,false,false,orar.usv.ro,"ID: 387, Capacitate: 0"
e235,E235,room,E,false,false,orar.usv.ro,"ID: 388, Capacitate: 0"
h207,H207,room,H,false,false,orar.usv.ro,"ID: 389, Capacitate: 0"
h104,H104,room,H,false,false,orar.usv.ro,"ID: 390, Capacitate: 0"
cons._jud.,Consiliu Judetean,room,H,false,false,orar.usv.ro,"ID: 391, Capacitate: 0"
e002,Birou Director CSUD,room,E,false,false,orar.usv.ro,"ID: 393, Capacitate: 0"
ed010,ED010- calculatoare 14 locuri,room,E,false,false,orar.usv.ro,"ID: 398, Capacitate: 0"
ed013,ED013 - 16 locuri,room,E,false,false,orar.usv.ro,"ID: 400, Capacitate: 0"
ed012,ED012 - 16 locuri,room,E,false,false,orar.usv.ro,"ID: 401, Capacitate: 0"
ed006,Laborator cercetare E.A.,laboratory,E,false,false,orar.usv.ro,"ID: 402, Capacitate: 0"
a118,A118,room,A,false,false,orar.usv.ro,"ID: 403, Capacitate: 0"
birou_e_208,E 208 Catedra,room,E,false,false,orar.usv.ro,"ID: 404, Capacitate: 0"
_birou_e_228,E 228 Catedra,room,E,false,false,orar.usv.ro,"ID: 406, Capacitate: 0"
_birou_e_203,Birou E 203 Catedra,room,E,false,false,orar.usv.ro,"ID: 407, Capacitate: 0"
birou_e_212,E 212 Catedra,room,E,false,false,orar.usv.ro,"ID: 409, Capacitate: 0"
birou_e_229,E 229 Catedra,room,E,false,false,orar.usv.ro,"ID: 411, Capacitate: 0"
a_31,A 31 Catedra Centrul de Studii,room,A,false,false,orar.usv.ro,"ID: 412, Capacitate: 0"
e_0010,E 0010 Prorectorat Relatii Int,room,E,false,false,orar.usv.ro,"ID: 413, Capacitate: 0"
birou_e211,E211 Filosofie,room,E,false,false,orar.usv.ro,"ID: 414, Capacitate: 0"
birou_e232,E232 Filosofie,room,E,false,false,orar.usv.ro,"ID: 418, Capacitate: 0"
b216_birou_cd,B216 Birou CD,room,B,false,false,orar.usv.ro,"ID: 427, Capacitate: 0"
b207_birou_cd,B207 Birou CD,room,B,false,false,orar.usv.ro,"ID: 431, Capacitate: 0"
h110,H110,room,H,false,false,orar.usv.ro,"ID: 442, Capacitate: 0"
h204,H204,room,H,false,false,orar.usv.ro,"ID: 443, Capacitate: 0"
e238,E238,room,E,false,false,orar.usv.ro,"ID: 446, Capacitate: 0"
e204,E204,room,E,false,false,orar.usv.ro,"ID: 447, Capacitate: 0"
e207,E207,room,E,false,false,orar.usv.ro,"ID: 448, Capacitate: 0"
e231,E231,room,E,false,false,orar.usv.ro,"ID: 449, Capacitate: 0"
e214,E214,room,E,false,false,orar.usv.ro,"ID: 450, Capacitate: 0"
a019,Catedra1 FSE,room,A,false,false,orar.usv.ro,"ID: 453, Capacitate: 0"
a008,Catedra2 FSE,room,A,false,false,orar.usv.ro,"ID: 454, Capacitate: 0"
e234,E234,room,E,false,false,orar.usv.ro,"ID: 455, Capacitate: 0"
h001,H001,room,H,false,false,orar.usv.ro,"ID: 460, Capacitate: 0"
s62,S62,room,A,false,false,orar.usv.ro,"ID: 461, Capacitate: 0"
b104_lab_om+trib,B104 Laborator OM+Trib,laboratory,B,false,false,orar.usv.ro,"ID: 462, Capacitate: 0"
e_015,E 015,room,E,false,false,orar.usv.ro,"ID: 472, Capacitate: 0"
